FunctionName, u1, u2, N1, N2, N, V, D, E, L, T
rl_redisplay,40,154,1358,997,2355,17897.7947433507,3764.08374229826,67368798.2164375,0.00026566890336755,3742711.01202431
expand_prompt,30,36,249,163,412,2490.29037717568,103.762099048987,258397.756777242,0.00963743032538204,14355.430932069
_rl_find_next_mbchar,9,7,23,17,40,160,8.14187856246908,1302.70056999505,0.12282177784002,72.372253888614
_rl_strip_prompt,9,5,29,12,41,156.101551804362,19.5126939755452,3045.96180946623,0.0512486897633548,169.220100525902
rl_expand_prompt,18,21,121,74,195,1030.65343267814,128.831679084767,132780.812286404,0.00776206603146134,7376.7117936891
init_line_structures,18,18,111,63,174,899.566950250962,189.187851414289,170187.138521284,0.00528575166177119,9454.84102896023
rl_on_new_line,7,11,24,20,44,183.476700063462,22.9345875079327,4207.96243327219,0.0436022666487512,233.775690737344
current_history,10,7,14,9,23,94.0116453487578,11.7514556685947,1104.77368264758,0.0850958407367743,61.3763157026432
_rl_output_some_chars,8,6,14,10,24,91.3765181293825,11.4220647661728,1043.70850818117,0.0875498450123979,57.983806010065
_rl_find_prev_mbchar,12,8,24,17,41,177.199051890382,11.4249917771822,2024.4977107721,0.0875274152929527,112.472095042895
_rl_clear_to_eol,7,7,15,11,26,98.9912279734977,20.818837023685,2060.88224195469,0.0480334227537461,114.493457886372
_rl_move_vert,19,18,62,44,106,552.202056756669,116.133569197046,64129.1957691015,0.00861077470462726,3562.73309828342
_rl_move_cursor_relative,23,31,148,110,258,1484.76097555818,185.595121944772,275564.394317558,0.00538807264717643,15309.1330176421
tputs,30,23,132,76,208,1191.40745454915,102.622252357642,122264.916461518,0.00974447526755668,6792.49535897322
_rl_output_character_function,6,4,8,6,14,46.5069933284231,5.81337416605288,270.362553556249,0.172017140379418,15.020141864236
_rl_backspace,13,11,33,23,56,256.757900040385,32.0947375050481,8240.57740414353,0.0311577559979331,457.809855785752
rl_on_new_line_with_prompt,25,33,100,84,184,1077.86850310347,134.733562887934,145225.063747815,0.00742205563755305,8068.05909710085
rl_forced_update_display,11,8,28,12,40,169.917100537743,21.2396375672179,3608.9776318942,0.0470817826733277,200.498757327456
rl_show_char,15,21,55,45,100,516.992500144231,64.6240625180289,33410.1556506729,0.0154741122893817,1856.11975837071
rl_character_len,18,16,56,31,87,442.60926718878,38.1242871528501,16874.1627988176,0.0262299986355349,937.453488823199
rl_message,16,24,55,37,92,489.617384729637,31.5683099589158,15456.3933624189,0.0316773372189211,858.688520134384
rl_save_prompt,6,18,33,29,62,284.267675044712,59.784311388097,16994.7472024434,0.0167267963246809,944.152622357968
rl_clear_message,7,7,17,9,26,98.9912279734977,12.3739034966872,1224.90790196262,0.0808152415499057,68.0504389979236
rl_restore_prompt,6,19,37,33,70,325.069933284231,68.3654309668366,22223.5460833373,0.0146272755961283,1234.64144907429
rl_reset_line_state,7,8,12,9,21,82.0447025077789,10.2555878134724,841.416651198743,0.0975078189751678,46.7453695110413
_rl_make_prompt_for_search,18,18,81,59,140,723.789500201924,90.4736875252405,65483.9050753188,0.0110529373495583,3637.9947264066
_rl_erase_at_end_of_line,12,12,34,25,59,270.512787542548,56.8915221273827,15389.8842382168,0.0175773113920376,854.993568789825
_rl_clear_screen,6,6,11,7,18,64.5293250129808,13.5711570428575,875.737603620755,0.0736856847829567,48.6520890900419
rl_crlf,6,10,14,11,25,100,12.5,1250,0.08,69.4444444444444
tgoto,12,14,32,24,56,263.224624215901,16.9715308018631,4467.32481768901,0.0589222039941277,248.184712093834
_rl_update_final,16,21,59,45,104,541.783150025411,113.942369778233,61732.0560198115,0.00877636652587009,3429.55866776731
redraw_prompt,10,18,41,27,68,326.900134699917,68.7503404762316,22474.4955623453,0.0145453825111705,1248.58308679696
_rl_redisplay_after_sigwinch,11,23,58,43,101,513.833746966284,108.064333116712,55527.1011987729,0.00925374701493763,3084.83895548738
_rl_clean_up_for_exit,6,9,14,11,25,97.672264890213,20.5414460059827,2006.32955552435,0.0486820645298656,111.462753084686
rl_restart_output,9,17,44,37,81,380.735617169429,32.7947810276957,12486.141194516,0.0304926567174053,693.674510806444
_rl_erase_entire_line,3,6,10,7,17,53.8887250245193,11.3333333333333,610.738883611219,0.0882352941176471,33.9299379784011
_rl_current_display_line,14,10,28,21,49,224.663162535337,28.0828953169171,6309.19207504739,0.0356088639976378,350.510670835966
strlist_create,18,13,58,38,96,475.60284579714,59.4503557246425,28274.7583662923,0.016820757215175,1570.81990923846
strvec_create,8,3,18,5,23,79.5669272286578,9.94586590358223,791.361988576317,0.100544287414918,43.9645549209065
strlist_resize,19,12,50,36,86,426.060882693271,36.69888689761,15635.9601454562,0.027248782852461,868.664452525346
strvec_resize,9,4,23,8,31,114.713631262374,9.88089437523591,1133.47327390328,0.101205413399242,62.9707374390709
strlist_flush,10,7,18,15,33,134.886273761261,28.3679211547882,3826.44317892264,0.0352510850034991,212.580176606813
strvec_flush,14,5,24,14,38,161.421245510856,33.9484888837874,5480.00735883242,0.0294563921069713,304.444853268468
strlist_dispose,8,7,17,13,30,117.206717868256,24.6497352071793,2889.11455995507,0.0405683871082213,160.506364441948
strvec_dispose,8,5,15,9,24,88.8105532353862,18.6777401557823,1658.78043642182,0.0535396676289243,92.154468690101
strlist_remove,14,9,33,25,58,262.366593451307,22.59902828421,5929.23006623791,0.0442496901824183,329.401670346551
strvec_remove,16,10,55,37,92,432.440454068981,37.2483932660247,16107.7120972997,0.0268467955881503,894.872894294428
strlist_copy,16,12,61,46,107,514.386976660164,64.2983720825204,33074.245219698,0.015552493284225,1837.458067761
strlist_merge,17,16,75,62,137,691.081994352108,59.5265629348124,41137.7358299164,0.0167992229132245,2285.42976832869
strlist_append,20,16,71,55,126,651.410550181731,56.1094507289927,36550.2881697679,0.0178223095576176,2030.5715649871
strlist_prefix_suffix,19,19,100,79,179,939.379024906402,60.5669021403813,56895.2774742329,0.0165106677848937,3160.84874856849
strlist_print,19,11,32,23,55,269.878982758469,33.7348728448086,9104.33316684322,0.0296429159404373,505.796287046845
strlist_walk,17,9,33,21,54,253.823744779619,31.7279680974524,8053.31167674365,0.0315179338597575,447.406204263536
strlist_sort,9,7,18,15,33,132,27.7609091571441,3664.44000874302,0.0360218750163899,203.580000485724
strvec_sort,7,6,18,9,27,99.9118723898095,21.0124576752551,2099.39398984636,0.047590815670155,116.632999435909
strlist_from_word_list,14,16,63,46,109,534.851074921329,27.2168281313469,14556.949782,0.03674197430994,808.719432333331
list_length,12,6,20,13,33,137.607525047596,17.2009406309495,2366.97886871561,0.0581363555316682,131.498826039756
strvec_from_word_list,19,16,82,52,134,687.323924270626,34.9756745280695,24039.6178706449,0.0285912999103836,1335.53432614694
strlist_to_word_list,12,10,30,24,54,240.809307406414,15.5262927630628,3738.87580686238,0.0644068751800821,207.715322603465
strvec_to_word_list,19,18,75,55,130,677.228937531764,43.6646526041048,29570.9662907714,0.0229018196724642,1642.83146059841
mailstat,37,55,277,224,501,3268.30453998456,281.516430003239,920081.426259833,0.00355219054173319,51115.634792213
find_stack_direction,13,7,31,17,48,207.452548554593,43.6293284457735,9051.01537780113,0.0229203619588803,502.834187655618
alloca,23,22,101,67,168,922.631320183385,115.328915022923,106406.069122917,0.00867085240333039,5911.4482846065
get_clk_tck,10,7,23,14,37,151.236125126263,18.9045156407828,2859.04569290082,0.0528974145120489,158.835871827823
times,17,27,112,83,195,1064.58916563427,133.073645704284,141668.761448235,0.0075146359349183,7870.48674712415
sh_get_home_dir,7,5,11,7,18,64.5293250129808,8.0661656266226,520.504223328864,0.123974642511613,28.916901296048
SWAP,8,6,20,14,34,129.450067349959,16.1812584187448,2094.6649921136,0.0617998905969867,116.370277339644
_nl_locale_name,20,436,994,520,1514,13372.9954814454,1151.88713301599,15404181.424958,0.000868140611469195,855787.856942109
_nl_find_domain,26,40,268,180,448,2707.88856547259,137.795624129853,373135.194953386,0.00725712450097576,20729.7330529659
_nl_load_domain,48,116,927,655,1582,11639.6472713058,1454.95590891323,16935173.5750521,0.000687306050907719,940842.976391783
_nl_init_domain_conv,28,61,217,174,391,2532.01177150786,163.252643626453,413357.615391958,0.00612547507829735,22964.3119662199
_nl_free_domain_conv,11,14,38,29,67,311.138364714907,65.4354839254007,20359.4894628777,0.0152822282347609,1131.08274793765
_nl_find_msg,41,95,608,436,1044,7399.31120626536,376.526833045807,2786039.21521544,0.00265585321479158,154779.956400858
libintl_dcigettext,38,104,644,439,1083,7743.17613042357,271.411122657141,2101584.12649024,0.00368444738082178,116754.673693902
uprint,29,50,156,97,253,1594.85652928881,335.414145668672,534937.440235509,0.0029813888678023,29718.7466797505
uname_builtin,23,44,126,80,206,1249.6143732343,156.201796654288,195192.010224219,0.00640197501833633,10844.0005680122
builtin_error,11,20,46,38,84,416.152490072498,52.0190612590622,21647.8618741925,0.0192237225316286,1202.6589930107
phash_freedata,10,12,27,19,46,205.133854457316,43.1416840806391,8849.81994324132,0.0231794382002063,491.656663513407
phash_create,6,5,8,6,14,48.4320426609222,10.1857389136726,493.316141600009,0.098176480712427,27.4064523111116
hash_create,16,13,54,37,91,442.076270556609,55.2595338195761,24428.928623655,0.0180964248316865,1357.16270131417
phash_flush,5,4,7,5,12,38.0391000173078,8,304.312800138462,0.125,16.906266674359
hash_flush,19,19,68,52,120,629.75130161323,78.7189127016538,49573.3377354447,0.0127034274951182,2754.07431863582
phash_remove,14,13,39,28,67,318.577462644952,39.8221828306191,12686.449963162,0.0251116319829436,704.802775731223
hash_remove,20,20,84,60,144,766.35764566378,49.4112677617812,37866.7028311813,0.0202382987787551,2103.70571284341
phash_insert,17,25,76,58,134,722.570534652354,46.5880732925378,33663.1690274121,0.0214647211040637,1870.17605707845
