FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput, Bugs
id_pruser,bash-3.2\examples\loadables\id.c,19,6,4,2,1,4,3, 0
id_prgrp,bash-3.2\examples\loadables\id.c,19,6,4,2,1,5,3, 0
id_prgroups,bash-3.2\examples\loadables\id.c,29,12,5,2,1,4,5, 0
id_prall,bash-3.2\examples\loadables\id.c,62,720,12,2,6,8,6, 0
id_builtin,bash-3.2\examples\loadables\id.c,50,43,17,2,28,10,12, 0
get_group_array,bash-3.2\general.c,27,14,8,2,2,5,4, 0
dirname_builtin,bash-3.2\examples\loadables\dirname.c,37,28,11,2,8,4,6, 0
unlink_builtin,bash-3.2\examples\loadables\unlink.c,15,3,3,1,2,4,5, 0
glob_name_is_acceptable,bash-3.2\pathexp.c,16,4,4,2,4,4,2, 0
ignore_globbed_names,bash-3.2\pathexp.c,29,18,6,2,2,3,3, 0
quote_globbing_chars,bash-3.2\pathexp.c,33,5,11,3,1,2,3, 0
should_ignore_glob_matches,bash-3.2\pathexp.c,5,1,1,0,0,3,1, 0
ignore_glob_matches,bash-3.2\pathexp.c,8,2,2,1,1,4,1, 0
setup_ignore_patterns,bash-3.2\pathexp.c,45,37,9,2,2,7,15, 0
bash_special_tilde_expansions,bash-3.2\general.c,12,3,4,1,1,1,5, 0
unquoted_tilde_word,bash-3.2\general.c,17,3,5,2,3,2,1, 0
initialize_group_array,bash-3.2\general.c,35,252,11,3,4,7,5, 0
legal_alias_name,bash-3.2\general.c,11,3,3,2,3,2,1, 0
sh_single_quote,bash-3.2\lib\sh\shquote.c,23,3,3,2,0,1,3, 0
sh_validfd,bash-3.2\general.c,6,1,1,0,0,1,2, 0
file_isdir,bash-3.2\general.c,7,1,1,0,0,3,2, 0
absolute_pathname,bash-3.2\general.c,14,5,5,1,4,1,1, 0
cat_file,bash-3.2\builtins\evalstring.c,30,13,6,1,3,7,9, 1
run_trap_cleanup,bash-3.2\trap.c,6,1,1,0,0,2,1, 0
pow_10,bash-3.2\lib\sh\snprintf.c,29,11,11,2,29,4,1, 0
log_10,bash-3.2\lib\sh\snprintf.c,27,8,5,2,1,4,1, 0
integral,bash-3.2\lib\sh\snprintf.c,32,9,6,2,2,2,4, 0
numtoa,bash-3.2\lib\sh\snprintf.c,69,578,15,3,6,6,3, 0
init_data,bash-3.2\lib\sh\snprintf.c,14,1,2,0,0,7,7, 0
init_conv_flag,bash-3.2\lib\sh\snprintf.c,9,1,1,0,0,1,5, 0
floating,bash-3.2\lib\sh\snprintf.c,38,2700001,41,4,1,14,17, 0
exponent,bash-3.2\lib\sh\snprintf.c,54,999999999,60,4,3,14,17, 0
number,bash-3.2\lib\sh\snprintf.c,56,1451520,50,5,3,15,15, 0
pointer,bash-3.2\lib\sh\snprintf.c,18,2880,21,4,0,11,8, 0
strings,bash-3.2\lib\sh\snprintf.c,12,360,18,5,0,11,7, 0
dfallback,bash-3.2\lib\sh\snprintf.c,23,20,8,3,3,10,7, 0
groupnum,bash-3.2\lib\sh\snprintf.c,43,55,11,4,7,5,4, 0
isinf,bash-3.2\lib\sh\snprintf.c,6,1,1,0,0,1,1, 0
isnan,bash-3.2\lib\sh\snprintf.c,6,1,1,0,0,1,1, 0
chkinfnan,bash-3.2\lib\sh\snprintf.c,24,26,14,3,1,10,8, 0
vsnprintf_internal,bash-3.2\lib\sh\snprintf.c,233,1879,138,6,489,14,23, 1
vsnprintf,bash-3.2\lib\sh\snprintf.c,9,2,2,1,1,4,3, 0
snprintf,bash-3.2\lib\sh\snprintf.c,18,2,2,1,1,3,5, 0
vasprintf,bash-3.2\lib\sh\snprintf.c,12,1,1,0,0,4,5, 0
asprintf,bash-3.2\lib\sh\snprintf.c,13,1,1,0,0,2,4, 0
get_sysdep_segment_value,bash-3.2\lib\intl\loadmsgcat.c,247,127740,139,5,384,2,2, 0
make_for_or_select,bash-3.2\make_cmd.c,17,1,1,0,0,6,8, 0
make_until_or_while,bash-3.2\make_cmd.c,12,1,1,0,0,5,6, 0
make_word_flags,bash-3.2\make_cmd.c,29,5,7,2,3,3,3, 0
make_word_from_token,bash-3.2\make_cmd.c,9,1,1,0,0,1,2, 0
make_command,bash-3.2\make_cmd.c,13,1,1,0,0,10,8, 0
command_connect,bash-3.2\make_cmd.c,12,1,1,0,0,5,6, 0
make_for_command,bash-3.2\make_cmd.c,9,1,1,0,0,5,2, 0
make_select_command,bash-3.2\make_cmd.c,10,1,1,0,0,1,2, 0
make_arith_for_command,bash-3.2\make_cmd.c,10,1,1,0,0,2,3, 0
make_group_command,bash-3.2\make_cmd.c,9,1,1,0,0,2,4, 0
make_case_command,bash-3.2\make_cmd.c,14,1,2,0,0,5,8, 0
make_pattern_list,bash-3.2\make_cmd.c,13,1,2,0,0,4,7, 0
make_if_command,bash-3.2\make_cmd.c,12,1,1,0,0,4,7, 0
make_while_command,bash-3.2\make_cmd.c,6,1,1,0,0,3,2, 0
make_until_command,bash-3.2\make_cmd.c,6,1,1,0,0,3,2, 0
make_arith_command,bash-3.2\make_cmd.c,7,1,1,0,0,1,2, 0
make_cond_command,bash-3.2\make_cmd.c,7,1,1,0,0,0,2, 0
make_bare_simple_command,bash-3.2\make_cmd.c,16,1,1,0,0,2,11, 0
make_simple_command,bash-3.2\make_cmd.c,19,8,5,2,1,10,8, 0
make_here_document,bash-3.2\make_cmd.c,66,325,15,3,11,8,16, 0
make_function_def,bash-3.2\make_cmd.c,18,1,1,0,0,6,11, 0
make_subshell_command,bash-3.2\make_cmd.c,10,1,1,0,0,2,5, 0
clean_simple_command,bash-3.2\make_cmd.c,15,2,4,1,1,9,8, 0
connect_async_list,bash-3.2\make_cmd.c,24,3,3,1,1,10,5, 0
tilde_expand_word,bash-3.2\lib\tilde\tilde.c,49,19,11,3,5,3,9, 0
_rl_push_executing_macro,bash-3.2\lib\readline\macro.c,10,1,1,0,0,4,5, 0
send_pwd_to_eterm,bash-3.2\eval.c,9,2,2,1,0,1,3, 0
alrm_catcher,bash-3.2\eval.c,9,1,1,0,0,0,4, 0
_path_isdir,bash-3.2\lib\sh\pathcanon.c,10,1,1,0,0,3,3, 0
memory_out,bash-3.2\lib\termcap\tparam.c,6,1,1,0,0,2,2, 0
describe_pid,bash-3.2\jobs.c,14,2,2,1,1,1,5, 0
alloc_undo_entry,bash-3.2\lib\readline\undo.c,15,1,1,0,0,6,7, 0
_rl_copy_undo_entry,bash-3.2\lib\readline\undo.c,9,1,2,0,0,6,6, 0
_rl_copy_undo_list,bash-3.2\lib\readline\undo.c,22,3,3,2,1,2,3, 0
_rl_fix_last_undo_of_type,bash-3.2\lib\readline\undo.c,16,3,3,2,3,6,3, 0
_rl_find_completion_word,bash-3.2\lib\readline\complete.c,88,27456,23,4,8,12,5, 0
_rl_free_match_list,bash-3.2\lib\readline\complete.c,11,3,3,1,1,3,1, 0
_rl_overwrite_char,bash-3.2\lib\readline\text.c,15,3,3,2,0,6,5, 0
_rl_overwrite_rubout,bash-3.2\lib\readline\text.c,31,9,5,1,2,7,10, 0
_rl_char_search_internal,bash-3.2\lib\readline\text.c,33,5,11,4,6,9,3, 0
_rl_vi_reset_last,bash-3.2\lib\readline\vi_mode.c,8,1,1,0,0,1,4, 0
_rl_vi_done_inserting,bash-3.2\lib\readline\vi_mode.c,21,7,5,2,2,7,4, 0
confstr,bash-3.2\examples\loadables\getconf.c,20,3,3,2,1,4,4, 0
sysconf,bash-3.2\examples\loadables\getconf.c,7,1,1,0,0,1,2, 0
pathconf,bash-3.2\examples\loadables\getconf.c,8,1,1,0,0,1,2, 0
getconf_help,bash-3.2\examples\loadables\getconf.c,14,3,3,2,1,4,2, 0
getconf_print,bash-3.2\examples\loadables\getconf.c,76,16,19,4,37,8,11, 0
getconf_one,bash-3.2\examples\loadables\getconf.c,30,15,8,2,8,8,5, 0
getconf_all,bash-3.2\examples\loadables\getconf.c,13,3,3,2,0,3,3, 0
getconf_builtin,bash-3.2\examples\loadables\getconf.c,31,8,7,2,14,2,8, 0
stat_char,bash-3.2\lib\readline\complete.c,19,5,5,2,2,3,4, 0
path_isdir,bash-3.2\lib\readline\complete.c,7,1,1,0,0,3,2, 0
rl_quote_filename,bash-3.2\lib\readline\complete.c,14,2,2,1,0,3,5, 0
set_completion_defaults,bash-3.2\lib\readline\complete.c,10,1,1,0,0,4,6, 0
get_y_or_n,bash-3.2\lib\readline\complete.c,23,9,7,2,8,3,5, 0
_rl_internal_pager,bash-3.2\lib\readline\complete.c,16,3,3,1,2,3,5, 0
printable_part,bash-3.2\lib\readline\complete.c,20,6,7,3,5,4,2, 0
fnwidth,bash-3.2\lib\readline\complete.c,21,3,3,2,1,2,1, 0
fnprint,bash-3.2\lib\readline\complete.c,33,4,5,2,2,3,4, 0
print_filename,bash-3.2\lib\readline\complete.c,63,127,14,3,8,9,11, 0
gen_completion_matches,bash-3.2\lib\readline\complete.c,22,3,3,2,2,10,5, 0
remove_duplicate_matches,bash-3.2\lib\readline\complete.c,40,144,9,2,1,2,8, 0
insert_match,bash-3.2\lib\readline\complete.c,23,7,6,2,1,8,3, 0
append_to_match,bash-3.2\lib\readline\complete.c,47,48,12,4,4,16,5, 0
insert_all_matches,bash-3.2\lib\readline\complete.c,34,10,6,3,1,6,7, 0
display_matches,bash-3.2\lib\readline\complete.c,47,13,7,2,4,6,11, 0
compute_lcd_of_matches,bash-3.2\lib\readline\complete.c,80,391,19,5,11,11,11, 0
postprocess_matches,bash-3.2\lib\readline\complete.c,42,35,10,4,3,6,5, 0
make_quoted_replacement,bash-3.2\lib\readline\complete.c,26,6,6,2,0,10,3, 0
copy_case_clause,bash-3.2\copy_cmd.c,10,1,1,0,0,4,6, 0
copy_case_clauses,bash-3.2\copy_cmd.c,13,2,3,1,0,3,4, 0
copy_for_command,bash-3.2\copy_cmd.c,13,1,1,0,0,7,10, 0
copy_group_command,bash-3.2\copy_cmd.c,9,1,1,0,0,3,4, 0
copy_subshell_command,bash-3.2\copy_cmd.c,10,1,1,0,0,4,5, 0
copy_case_command,bash-3.2\copy_cmd.c,12,1,1,0,0,6,8, 0
copy_while_command,bash-3.2\copy_cmd.c,11,1,1,0,0,5,6, 0
copy_if_command,bash-3.2\copy_cmd.c,12,1,2,0,0,6,7, 0
copy_simple_command,bash-3.2\copy_cmd.c,12,1,2,0,0,6,8, 0
rl_change_case,bash-3.2\lib\readline\text.c,45,19,12,2,3,8,12, 0
_rl_char_search,bash-3.2\lib\readline\text.c,13,2,2,1,1,6,4, 0
_rl_insert_next_callback,bash-3.2\lib\readline\text.c,10,1,1,0,0,2,4, 0
_rl_char_search_callback,bash-3.2\lib\readline\text.c,8,1,1,0,0,4,4, 0
_rl_insert_next,bash-3.2\lib\readline\text.c,12,2,2,1,0,4,5, 1
munge_list,bash-3.2\examples\loadables\head.c,20,3,3,2,2,5,5, 0
file_head,bash-3.2\examples\loadables\head.c,20,5,5,3,6,4,5, 0
head_builtin,bash-3.2\examples\loadables\head.c,48,14,9,3,10,7,12, 0
_rl_vi_stuff_insert,bash-3.2\lib\readline\vi_mode.c,9,2,2,1,0,3,3, 0
_rl_vi_save_insert,bash-3.2\lib\readline\vi_mode.c,22,4,4,2,1,8,4, 0
_rl_vi_backup,bash-3.2\lib\readline\vi_mode.c,8,2,3,1,1,4,1, 0
_rl_vi_arg_dispatch,bash-3.2\lib\readline\vi_mode.c,28,4,4,2,3,7,5, 0
rl_digit_loop1,bash-3.2\lib\readline\vi_mode.c,16,4,4,2,5,1,5, 0
_rl_vi_set_mark,bash-3.2\lib\readline\vi_mode.c,16,2,2,1,1,3,5, 0
_rl_vi_goto_mark,bash-3.2\lib\readline\vi_mode.c,26,4,4,1,3,4,5, 0
_rl_vi_append_forward,bash-3.2\lib\readline\vi_mode.c,18,4,4,3,1,6,2, 0
_rl_vi_callback_getchar,bash-3.2\lib\readline\vi_mode.c,11,1,1,0,0,2,3, 0
_rl_vi_callback_set_mark,bash-3.2\lib\readline\vi_mode.c,8,1,1,0,0,0,4, 0
_rl_vi_callback_goto_mark,bash-3.2\lib\readline\vi_mode.c,8,1,1,0,0,0,4, 0
_rl_vi_callback_change_char,bash-3.2\lib\readline\vi_mode.c,11,1,1,0,0,2,6, 0
_rl_vi_callback_char_search,bash-3.2\lib\readline\vi_mode.c,11,1,1,0,0,4,7, 0
_rl_vi_change_char,bash-3.2\lib\readline\vi_mode.c,21,4,4,2,1,6,7, 0
yy_getc,bash-3.2\y.tab.c,5,1,1,0,0,4,1, 0
yy_ungetc,bash-3.2\y.tab.c,6,1,1,0,0,4,1, 0
yy_string_get,bash-3.2\y.tab.c,15,2,2,1,1,3,4, 0
yy_string_unget,bash-3.2\y.tab.c,7,1,1,0,0,1,4, 0
yy_stream_get,bash-3.2\y.tab.c,21,5,4,2,0,4,4, 0
yy_stream_unget,bash-3.2\y.tab.c,6,1,1,0,0,4,2, 0
shell_getc,bash-3.2\y.tab.c,101,8884328,35,5,11,20,21, 0
shell_ungetc,bash-3.2\y.tab.c,9,2,2,1,1,6,3, 0
discard_until,bash-3.2\y.tab.c,10,4,3,1,0,2,2, 0
read_a_line,bash-3.2\y.tab.c,56,1186,17,4,12,7,9, 0
reserved_word_acceptable,bash-3.2\y.tab.c,36,2,26,1,1,3,1, 0
yylex,bash-3.2\y.tab.c,19,5,4,2,0,10,10, 0
time_command_acceptable,bash-3.2\y.tab.c,5,1,1,0,0,1,1, 0
special_case_tokens,bash-3.2\y.tab.c,52,22,11,2,9,8,7, 0
read_token,bash-3.2\y.tab.c,102,133,28,4,65,14,14, 0
parse_matched_pair,bash-3.2\y.tab.c,166,4276803,61,7,37,17,20, 0
read_token_word,bash-3.2\y.tab.c,233,661424958,85,6,86,24,38, 0
discard_parser_constructs,bash-3.2\y.tab.c,5,1,1,0,0,0,0, 0
error_token_from_token,bash-3.2\y.tab.c,34,11,12,2,12,10,8, 0
error_token_from_text,bash-3.2\y.tab.c,32,96,9,2,1,3,4, 0
print_offending_line,bash-3.2\y.tab.c,12,2,2,1,0,3,5, 0
report_syntax_error,bash-3.2\y.tab.c,42,10,10,2,3,7,7, 0
handle_eof_input_unit,bash-3.2\y.tab.c,28,7,6,3,4,7,9, 0
prompt_again,bash-3.2\y.tab.c,25,9,7,2,1,12,9, 0
print_prompt,bash-3.2\y.tab.c,6,1,1,0,0,3,2, 0
yyerror,bash-3.2\y.tab.c,8,1,1,0,0,3,3, 0
__yy_memcpy,bash-3.2\y.tab.c,12,2,2,1,0,4,0, 0
